shift_px,profiled_rss
1.2499999999999742,1.1043060135757765e-13
1.299999999999974,1.1375149410331288e-13
1.3499999999999739,1.1711474058182912e-13
1.3999999999999737,1.2051994627968729e-13
1.4499999999999735,1.239667138219396e-13
1.4999999999999734,1.2745464230823488e-13
1.5499999999999732,1.309833263963948e-13
1.599999999999973,1.345523580850698e-13
1.6499999999999728,1.3816132620105564e-13
1.6999999999999726,1.418098160668741e-13
1.7499999999999725,1.4549740839838622e-13
1.7999999999999723,1.4922367961032305e-13
1.8499999999999721,1.5298820316013883e-13
1.899999999999972,1.5679054890450971e-13
1.9499999999999718,1.606302829171483e-13
1.9999999999999716,1.6450696772568061e-13
2.0499999999999723,1.684201624653113e-13
2.0999999999999712,1.7236942304662315e-13
2.14999999999997,1.763543021407488e-13
2.199999999999971,1.803743493679382e-13
2.2499999999999716,1.8442911112328065e-13
2.2999999999999705,1.8851813061076662e-13
2.3499999999999694,1.9264094792147828e-13
2.39999999999997,1.9679710097161405e-13
2.449999999999971,2.009861268881465e-13
2.49999999999997,2.0520756139970062e-13
2.5499999999999687,2.0946093737250375e-13
2.5999999999999694,2.1374578719841645e-13
2.64999999999997,2.1806164201919441e-13
2.699999999999969,2.224080312763833e-13
2.749999999999968,2.267844813244184e-13
2.7999999999999687,2.311905157296967e-13
2.8499999999999694,2.3562565693145005e-13
2.8999999999999684,2.4008942553972e-13
2.9499999999999673,2.4458133998857956e-13
2.999999999999968,2.491009168159674e-13
3.0499999999999687,2.5364767083233107e-13
3.0999999999999677,2.582211153171153e-13
3.1499999999999666,2.6282076199525915e-13
3.1999999999999673,2.6744612128411114e-13
3.249999999999968,2.720967020870769e-13
3.299999999999967,2.7677201177146895e-13
3.349999999999966,2.8147155617922673e-13
3.3999999999999666,2.8619484073559207e-13
3.4499999999999673,2.909413720479106e-13
3.4999999999999662,2.957106574605673e-13
3.549999999999965,3.0050220298082187e-13
3.599999999999966,3.053155161390245e-13
3.6499999999999666,3.10150104832948e-13
3.6999999999999655,3.1500547691005177e-13
3.7499999999999645,3.1988113861049896e-13
3.799999999999965,3.247765948095074e-13
3.849999999999966,3.296913509335408e-13
3.899999999999965,3.3462491225487065e-13
3.9499999999999638,3.395767833564114e-13
3.9999999999999645,3.4454646843489055e-13
4.049999999999965,3.495334714766945e-13
4.099999999999964,3.545372964760182e-13
4.149999999999963,3.5955744739988263e-13
4.199999999999964,3.6459342848462583e-13
4.2499999999999645,3.6964474400458295e-13
4.299999999999963,3.7471089818275966e-13
4.349999999999962,3.7979139511813264e-13
4.399999999999963,3.848857400189973e-13
4.449999999999964,3.899934409451589e-13
4.499999999999963,3.9511400861416545e-13
4.549999999999962,4.0024695371689377e-13
4.599999999999962,4.05391790096049e-13
4.649999999999963,4.1054803326099883e-13
4.699999999999962,4.1571520004578915e-13
4.749999999999961,4.208928069852903e-13
4.799999999999962,4.26080370457389e-13
4.849999999999962,4.312774087811192e-13
4.899999999999961,4.364834415578236e-13
4.94999999999996,4.4169798894581606e-13
4.999999999999961,4.4692057196691177e-13
5.049999999999962,4.5215071268443674e-13
5.099999999999961,4.573879344391399e-13
5.1499999999999595,4.626317618017093e-13
5.19999999999996,4.678817209071863e-13
5.249999999999961,4.731373392084244e-13
5.29999999999996,4.783981453187031e-13
5.349999999999959,4.836636688540901e-13
5.3999999999999595,4.889334417387805e-13
5.44999999999996,4.94207000015126e-13
5.499999999999959,4.994838839587354e-13
5.549999999999958,5.047636348508853e-13
5.599999999999959,5.100457982770257e-13
5.6499999999999595,5.153299223899739e-13
5.699999999999958,5.206155576858606e-13
5.749999999999957,5.259022554333251e-13
5.799999999999958,5.311895676827224e-13
5.849999999999959,5.364770494664159e-13
5.899999999999958,5.417642582264434e-13
5.949999999999957,5.470507529177732e-13
5.999999999999957,5.523360942994436e-13
