case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_cold_n_s0360,0.0579023,0,-0.0125112,-0.0510106,-0.0166931,0,0.0055
etalon_f_cold_n_s0362,0.0579023,0,-0.00924637,-0.0487372,-0.0101252,0,0.0055
etalon_f_cold_n_s0364,0.0579023,0,-0.0273805,-0.111194,-0.0308036,0,0.0055
etalon_f_cold_n_s0366,0.0579023,0,-0.0205826,-0.10788,-0.0224748,0,0.0055
etalon_f_cold_n_s0368,0.0579023,0,-0.0136709,-0.0773304,-0.0180848,0,0.0055
etalon_f_cold_n_s0370,0.0579023,0,-0.0181903,-0.10814,-0.0146236,0,0.0055
etalon_f_cold_n_s0372,0.0579023,0,-0.0116544,-0.0689875,-0.0104515,0,0.0055
etalon_f_cold_n_s0374,0.0579023,0,-0.00675303,-0.0252028,-0.00870073,0,0.0055
etalon_f_cold_n_s0376,0.0579023,0,0.000622709,0.0128626,-0.000443214,0,0.0055
etalon_f_cold_n_s0378,0.0579023,0,-0.00662577,-0.0274618,-0.0101202,0,0.0055
etalon_f_cold_n_s0380,0.0579023,0,-0.0155171,-0.137291,-0.0154313,0,0.0055
etalon_f_cold_n_s0382,0.0579023,0,-0.000124331,-0.00654926,-0.000601716,0,0.0055
etalon_f_cold_n_s0384,0.0579023,0,-0.00813054,0.0178199,-0.0111601,0,0.0055
etalon_f_cold_n_s0386,0.0579023,0,-0.00123698,-0.0226228,-0.00145283,0,0.0055
etalon_f_cold_n_s0388,0.0579023,0,-0.0220062,-0.107275,-0.0274108,0,0.0055
etalon_f_cold_n_s0390,0.0579023,0,-0.0116845,-0.077391,-0.0267882,0,0.0055
etalon_f_cold_n_s0392,0.0579023,0,-0.0108325,-0.0741572,-0.0295579,0,0.0055
etalon_f_cold_n_s0394,0.0579023,0,-0.0141512,-0.145285,-0.0175731,0,0.0055
etalon_f_cold_n_s0396,0.0579023,0,-0.00144056,-0.0202287,-0.00149204,0,0.0055
etalon_f_cold_n_s0398,0.0579023,0,0.00628519,0.0313861,0.00371398,0,0.0055
etalon_f_cold_n_median|abs|,0.0579023,0,0.0118458,0.134774,0.00960168,0,0.0055
etalon_f_cold_n_p95|abs|,0.0579023,0,0.0469016,1.70918,0.0327647,0,0.0055
